id,name,literal,area,IP,read group,write group,value,command,device,comment,other groups
197,-,-,Sala multiple,192.168.8.254,8/0/3,8/2/0,,on/off,1.1.55,55,8/2/1 8/2/2 8/2/3 8/2/8 8/2/9
198,-,-,Sala multiple,192.168.8.254,8/0/4,,,on/off,1.1.55,55,
199,-,-,Sala multiple,192.168.8.254,8/0/5,,,on/off,1.1.55,55,
200,-,-,Sala multiple,192.168.8.254,8/0/6,,,on/off,1.1.55,55,
201,-,-,Sala multiple,192.168.8.254,8/0/7,,,on/off,1.1.55,55,
202,-,-,Sala multiple,192.168.8.254,8/1/0,8/2/3,,on/off,1.1.56,56,
203,-,-,Sala multiple,192.168.8.254,8/1/1,8/2/4,,on/off,1.1.56,56,
204,-,-,Sala multiple,192.168.8.254,8/1/2,8/2/3,,on/off,1.1.56,56,
205,-,-,Sala multiple,192.168.8.254,8/1/3,8/2/5,,on/off,1.1.56,56,
206,-,-,Sala multiple,192.168.8.254,8/1/4,8/2/6,,on/off,1.1.56,56,
207,-,-,Sala multiple,192.168.8.254,8/1/5,8/2/7,,on/off,1.1.56,56,
208,-,-,Sala multiple,192.168.8.254,8/1/6,8/2/7,,on/off,1.1.56,56,
209,-,-,Sala multiple,192.168.8.254,8/1/7,,,on/off,1.1.56,56,
246,-,-,Sala vip,192.168.4.214,7/0/0,,,on/off,1.1.3,timer,
247,-,-,Sala vip,192.168.4.214,23/7/2,,,on/off,1.1.3,timer,
248,-,-,Sala vip,192.168.4.214,7/0/1,,,on/off,1.1.3,timer,
249,-,-,Sala vip,192.168.4.214,23/7/0,,,on/off,1.1.3,timer,
250,-,-,Sala vip,192.168.4.214,7/0/2,,,on/off,1.1.3,timer,
251,-,-,Sala vip,192.168.4.214,7/0/3,,,on/off,1.1.3,timer,
252,-,-,Sala vip,192.168.4.214,3/0/0,,,on/off,1.1.4,sensorMovimiento6,
253,-,-,Sala vip,192.168.4.214,3/0/1,,,on/off,1.1.5,sensorMovimiento2,
254,-,-,Sala vip,192.168.4.214,3/0/2,,,on/off,1.1.6,06,
255,-,-,Sala vip,192.168.4.214,3/0/3,,,on/off,1.1.7,sensorMovimiento4,
256,-,-,Sala vip,192.168.4.214,3/0/4,,,on/off,1.1.8,sensorMovimiento5,
