id,name,literal,area,IP,read group,write group,value,command,device,comment,other groups
0,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/1,4/2/2,,on/off,output12channel,,4/6/0
1,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/2,,,on/off,output12channel,,
2,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/3,4/2/1,,on/off,output12channel,,4/6/0
3,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/4,,,on/off,output12channel,,
4,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/5,,,on/off,output12channel,,
5,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/6,,,on/off,output12channel,,
6,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/7,,,on/off,output12channel,,
7,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/8,3/0/2,,on/off,output12channel,,4/2/5 4/6/1
8,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/9,4/2/0,,on/off,output12channel,,23/7/1
9,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/10,3/0/1,,on/off,output12channel,,4/2/4 4/6/1
10,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/11,,,on/off,output12channel,,
11,unknown,Control Domotico,Sala multiple,192.168.8.254,0/0/12,,,on/off,output12channel,,
12,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/0,,,on/off,output12channel,,
13,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/1,,,on/off,output12channel,,
14,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/2,,,on/off,output12channel,,
15,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/3,,,on/off,output12channel,,
16,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/4,,,on/off,output12channel,,
17,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/5,,,on/off,output12channel,,
18,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/6,,,on/off,output12channel,,
19,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/7,,,on/off,output12channel,,
20,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/8,,,on/off,output12channel,,
21,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/9,,,on/off,output12channel,,
22,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/10,,,on/off,output12channel,,
23,unknown,Control Domotico,Sala multiple,192.168.8.254,0/1/11,,,on/off,output12channel,,
24,unknown,Control Domotico,Sala multiple,192.168.8.254,2/1/0,23/7/3,,on/off,03,,
25,unknown,Control Domotico,Sala multiple,192.168.8.254,2/1/1,23/7/3,,on/off,03,,
26,unknown,Control Domotico,Sala multiple,192.168.8.254,2/1/2,23/7/3,,on/off,03,,
27,unknown,Control Domotico,Sala multiple,192.168.8.254,2/1/3,23/7/3,,on/off,03,,
28,unknown,Control Domotico,Sala multiple,192.168.8.254,3/1/0,,,on/off,04,,
29,unknown,Control Domotico,Sala multiple,192.168.8.254,3/1/1,,,on/off,04,,
30,unknown,Control Domotico,Sala multiple,192.168.8.254,3/1/2,,,on/off,04,,
31,unknown,Control Domotico,Sala multiple,192.168.8.254,3/1/3,,,on/off,04,,
32,unknown,Control Domotico,Sala multiple,192.168.8.254,0/2/0,3/0/0,,on/off,output8channel,,23/7/1
33,unknown,Control Domotico,Sala multiple,192.168.8.254,0/2/1,4/0/0,,on/off,output8channel,,23/7/1
34,unknown,Control Domotico,Sala multiple,192.168.8.254,0/2/2,4/1/0,,on/off,output8channel,,23/7/1
35,unknown,Control Domotico,Sala multiple,192.168.8.254,0/2/3,,,on/off,output8channel,,
36,unknown,Control Domotico,Sala multiple,192.168.8.254,0/2/4,4/2/1,,on/off,output8channel,,4/6/0 23/7/1
37,unknown,Control Domotico,Sala multiple,192.168.8.254,0/2/5,4/2/2,,on/off,output8channel,,23/7/1
38,unknown,Control Domotico,Sala multiple,192.168.8.254,0/2/6,,,on/off,output8channel,,
